Time,TraceSource,NodeId,MsgType,PacketHex,PacketLength
246.070118453,USMsgTx,1285,2,0505000000010000fcfeffffffffffff,16
246.609410827,USMsgTx,1890,2,6207000000010000fbfeffffffffffff,16
246.652083797,USMsgTx,1380,2,6405000000010000fafeffffffffffff,16
248.229894724,USMsgTx,176,2,b000000000010000f9feffffffffffff,16
248.943914095,USMsgTx,621,2,6d02000000010000f8feffffffffffff,16
249.084952056,USMsgTx,656,2,9002000000010000f7feffffffffffff,16
249.895583832,USMsgTx,2191,2,8f08000000010000f6feffffffffffff,16
250.747064326,USMsgTx,3215,2,8f0c000000010000f5feffffffffffff,16
250.768610499,USMsgTx,2597,2,250a000000010000f4feffffffffffff,16
251.213557634,USMsgTx,3109,2,250c000000010000f3feffffffffffff,16
252.552233899,USMsgTx,4362,2,0a11000000010000f2feffffffffffff,16
253.370228618,USMsgTx,412,2,9c01000000010000f1feffffffffffff,16
253.871486779,USMsgTx,1617,2,5106000000010000f0feffffffffffff,16
253.990789485,USMsgTx,3614,2,1e0e000000010000effeffffffffffff,16
253.993546713,USMsgTx,1156,2,8404000000010000eefeffffffffffff,16
254.250892247,USMsgTx,2481,2,b109000000010000edfeffffffffffff,16
254.309305314,USMsgTx,593,2,5102000000010000ecfeffffffffffff,16
254.529893268,USMsgTx,1885,2,5d07000000010000ebfeffffffffffff,16
254.612648430,USMsgTx,3939,2,630f000000010000eafeffffffffffff,16
254.711288348,USMsgTx,2291,2,f308000000010000e9feffffffffffff,16
255.759534239,USMsgTx,4880,2,1013000000010000e8feffffffffffff,16
256.837841058,USMsgTx,1723,2,bb06000000010000e7feffffffffffff,16
257.298103676,USMsgTx,4085,2,f50f000000010000e6feffffffffffff,16
257.735309076,USMsgTx,3644,2,3c0e000000010000e5feffffffffffff,16
258.230682441,USMsgTx,4269,2,ad10000000010000e4feffffffffffff,16
258.307021117,USMsgTx,1206,2,b604000000010000e3feffffffffffff,16
258.514346035,USMsgTx,1372,2,5c05000000010000e2feffffffffffff,16
258.638043374,USMsgTx,3316,2,f40c000000010000e1feffffffffffff,16
258.788511815,USMsgTx,2571,2,0b0a000000010000e0feffffffffffff,16
259.216555863,USMsgTx,2901,2,550b000000010000dffeffffffffffff,16
259.309100460,USMsgTx,437,2,b501000000010000defeffffffffffff,16
260.013657221,USMsgTx,4697,2,5912000000010000ddfeffffffffffff,16
260.250127695,USMsgTx,4783,2,af12000000010000dcfeffffffffffff,16
261.081724079,USMsgTx,1187,2,a304000000010000dbfeffffffffffff,16
